X,Class
841,1
742,1
781,1
820,1
702,1
701,1
761,1
821,1
802,1
700,1
722,1
822,1
821,1
761,1
701,1
801,1
842,1
781,1
721,1
781,1
861,1
822,1
720,1
782,1
842,1
821,1
780,1
722,1
841,1
781,1
721,1
722,1
740,1
821,1
782,1
722,1
820,1
942,1
881,1
722,1
700,1
701,1
761,1
702,1
760,1
802,1
702,1
740,1
882,1
861,1
761,1
741,1
781,1
941,1
882,1
781,1
761,1
882,1
921,1
861,1
741,1
802,1
881,1
841,1
801,1
762,1
901,1
821,1
721,1
761,1
821,1
821,1
742,1
781,1
861,1
901,1
862,1
761,1
741,1
821,1
901,1
802,1
701,1
881,1
941,1
861,1
762,1
841,1
942,1
841,1
741,1
821,1
901,1
801,1
722,1
841,1
901,1
861,1
741,1
822,1
941,1
842,1
781,1
880,1
922,1
842,1
721,1
821,1
821,1
782,1
740,1
802,1
861,1
801,1
761,1
721,1
842,1
881,1
761,1
741,1
821,1
842,1
761,1
761,1
881,1
901,1
802,1
740,1
822,1
861,1
781,1
762,1
841,1
881,1
841,1
742,1
760,1
842,1
821,1
761,1
742,1
821,1
802,1
780,1
701,1
761,1
802,1
821,1
761,1
721,1
701,1
442,1
521,1
821,1
742,1
760,1
922,1
901,1
781,1
782,1
901,1
861,1
781,1
701,1
722,1
761,1
821,1
821,1
761,1
802,1
721,1
720,1
862,1
801,1
702,1
761,1
821,1
821,1
761,1
701,1
782,1
821,1
801,1
761,1
761,1
862,1
880,1
802,1
741,1
701,1
741,1
782,1
720,1
722,1
721,1
861,1
882,1
801,1
721,1
821,1
882,1
761,1
741,1
721,1
762,1
800,1
721,1
721,1
782,1
781,1
762,1
681,1
701,1
761,1
842,1
760,1
681,1
721,1
802,1
801,1
741,1
702,1
741,1
801,1
761,1
701,1
781,1
882,1
801,1
741,1
761,1
861,1
822,1
741,1
582,1
800,1
721,1
681,1
781,1
742,1
721,1
802,1
821,1
801,1
721,1
801,1
861,1
822,1
760,1
643,1
901,1
861,1
781,1
741,1
761,1
841,1
802,1
740,1
742,1
781,1
842,1
781,1
761,1
881,1
862,1
800,1
862,1
901,1
881,1
801,1
861,1
861,1
842,1
721,1
741,1
721,1
722,1
742,1
700,1
861,1
882,1
801,1
762,1
880,1
821,1
742,1
781,1
922,1
840,1
761,1
802,1
901,1
841,1
821,1
861,1
922,1
842,1
760,1
801,1
942,1
862,1
760,1
802,1
860,1
863,1
781,1
780,1
842,1
841,1
781,1
762,1
901,1
880,1
782,1
741,1
821,1
862,1
741,1
761,1
821,1
802,1
780,1
742,1
801,1
861,1
761,1
461,1
282,1
800,1
782,1
802,1
720,1
801,1
821,1
762,1
742,1
800,1
842,1
761,1
721,1
781,1
841,1
781,1
742,1
762,1
861,1
821,1
721,1
861,1
901,1
821,1
742,1
821,1
881,1
781,1
762,1
841,1
901,1
821,1
741,1
782,1
800,1
802,1
702,1
740,1
622,1
1020,1
782,1
722,1
861,1
861,1
801,1
781,1
821,1
881,1
781,1
742,1
781,1
802,1
820,1
741,1
742,1
861,1
842,1
521,1
382,1
761,1
741,1
841,1
861,1
782,1
720,1
702,1
701,1
761,1
681,1
662,1
760,1
882,1
761,1
722,1
881,1
881,1
782,1
720,1
742,1
861,1
721,1
701,1
721,1
802,1
761,1
701,1
681,1
761,1
821,1
721,1
722,1
781,1
801,1
742,1
701,1
761,1
802,1
760,1
742,1
721,1
781,1
821,1
761,1
681,1
741,1
902,1
781,1
701,1
681,1
742,1
800,1
762,1
701,1
682,1
700,1
662,1
721,1
721,1
681,1
681,1
761,1
821,1
722,1
681,1
681,1
742,1
781,1
700,1
642,1
681,1
782,1
880,1
742,1
741,1
741,1
822,1
861,1
741,1
741,1
801,1
822,1
721,1
760,1
822,1
881,1
742,1
740,1
842,1
821,1
761,1
722,1
821,1
841,1
762,1
740,1
802,1
821,1
741,1
701,1
781,1
821,1
742,1
721,1
761,1
822,1
761,1
720,1
902,1
881,1
782,1
760,1
822,1
801,1
742,1
700,1
762,1
801,1
721,1
722,1
840,1
801,1
741,1
702,1
741,1
721,1
681,1
742,1
701,1
660,1
702,1
842,1
781,1
721,1
701,1
901,1
922,1
801,1
741,1
821,1
921,1
861,1
861,1
882,1
842,1
740,1
882,1
821,1
781,1
721,1
861,1
802,1
721,1
801,1
901,1
821,1
722,1
841,1
781,1
721,1
722,1
881,1
821,1
741,1
761,1
762,1
761,1
741,1
702,1
800,1
822,1
720,1
722,1
822,1
781,1
721,1
721,1
821,1
821,1
742,1
741,1
841,1
821,1
741,1
782,1
881,1
861,1
742,1
761,1
800,1
822,1
762,1
741,1
841,1
821,1
721,1
802,1
840,1
842,1
761,1
741,1
841,1
802,1
761,1
721,1
741,1
842,1
760,1
721,1
802,1
861,1
801,1
741,1
822,1
861,1
781,1
741,1
822,1
821,1
801,1
741,1
861,1
842,1
721,1
781,1
861,1
822,1
721,1
761,1
862,1
781,1
740,1
742,1
901,1
821,1
741,1
782,1
821,1
781,1
742,1
721,1
840,1
802,1
761,1
722,1
840,1
862,1
781,1
721,1
781,1
821,1
761,1
762,1
742,1
800,1
822,1
760,1
722,1
761,1
882,1
801,1
741,1
741,1
761,1
761,1
741,1
702,1
840,1
782,1
802,1
701,1
820,1
862,1
841,1
721,1
781,1
862,1
821,1
741,1
802,1
801,1
761,1
721,1
761,1
901,1
822,1
741,1
801,1
842,1
821,1
741,1
761,1
821,1
761,1
741,1
702,1
821,1
861,1
742,1
740,1
822,1
822,1
720,1
642,1
380,1
362,1
660,1
702,1
802,1
740,1
682,1
761,1
761,1
801,1
681,1
702,1
780,1
762,1
721,1
681,1
722,1
861,1
781,1
721,1
702,1
781,1
881,1
